frase,situacao
confusão mental crônica nas mãos há 2 dias,alto risco
Tenho contínua coceira no peito de manhã,alto risco
Tenho moderada perda de equilíbrio no peito durante a noite,baixo risco
dor no peito contínua na coluna de manhã,alto risco
Sinto cansaço seguida de formigamento no peito há 2 dias,baixo risco
Tenho aguda dor no peito na garganta durante a noite,alto risco
Apresentei aguda formigamento junto com confusão mental nos pés,baixo risco
Tenho leve perda de visão na garganta durante o repouso,baixo risco
Tenho intensa coceira na coluna ao levantar,alto risco
Sinto rigidez muscular e dor no peito nas pernas ao levantar,alto risco
Apresentei moderada formigamento associada a perda de visão nos pés,alto risco
Apresentei contínua coceira seguida de náusea na lombar,alto risco
Apresentei aguda falta de ar com dor no peito nos braços,alto risco
Apresentei aguda dor de cabeça com cansaço nas pernas,alto risco
Sinto perda de visão junto com perda de equilíbrio no abdômen após comer,baixo risco
Sinto tosse e tosse nos pés durante o repouso,alto risco
Apresentei crônica desconforto e dor no peito nas pernas,alto risco
Sensação de dor abdominal forte ao acordar,alto risco
dor de cabeça persistente na lombar à noite,alto risco
dor abdominal persistente nos pés há uma semana,alto risco
Sinto formigamento associada a perda de visão nos braços de manhã,baixo risco
Sinto dor de cabeça com formigamento nas pernas durante a noite,alto risco
Tenho forte aperto na cabeça após comer,alto risco
fraqueza intensa na garganta após esforço,alto risco
dor de cabeça forte nas costas há 2 dias,baixo risco
febre moderada nos pés há uma semana,baixo risco
cansaço forte nas mãos após comer,alto risco
Sensação de dor no peito intensa após comer,baixo risco
Sinto inchaço e inchaço nos pés durante a noite,alto risco
Tenho crônica cansaço nos braços durante a noite,baixo risco
Apresentei aguda inquietação e inquietação nas pernas,alto risco
Tenho moderada dor abdominal nas pernas de manhã,alto risco
dor contínua na garganta há 2 dias,alto risco
Apresentei intensa perda de equilíbrio e tontura nos braços,alto risco
Tenho persistente dor no peito nas mãos durante a noite,alto risco
dor abdominal forte na garganta durante a noite,alto risco
Sensação de tontura persistente após comer,baixo risco
Sinto dor no peito com dor na cabeça durante a noite,baixo risco
Sinto falta de ar junto com dor no peito nas costas após esforço,baixo risco
confusão mental persistente nas mãos de manhã,baixo risco
Apresentei repentina calafrio seguida de falta de ar no peito,baixo risco
desconforto contínua na coluna após comer,baixo risco
Apresentei moderada falta de ar com dor de cabeça no abdômen,alto risco
Tenho crônica desconforto nos olhos após esforço,baixo risco
Tenho forte calafrio nos olhos ao levantar,alto risco
Apresentei aguda tontura associada a dor de cabeça na lombar,alto risco
Tenho contínua dor de cabeça no abdômen de manhã,baixo risco
Sensação de aperto intensa ao levantar,alto risco
Sensação de confusão mental intensa após esforço,baixo risco
calafrio intermitente nas costas ao acordar,alto risco
Sinto tontura associada a rigidez muscular nos pés após comer,alto risco
Apresentei repentina tosse com inquietação no peito,alto risco
Apresentei intermitente dor seguida de coceira nos olhos,alto risco
Apresentei aguda dor de cabeça associada a tosse na coluna,baixo risco
cansaço intermitente nos pés à noite,alto risco
perda de visão contínua na garganta ao acordar,alto risco
Sinto palpitação com perda de visão nas pernas ao acordar,alto risco
Apresentei aguda confusão mental associada a palpitação na lombar,baixo risco
Sinto dor abdominal associada a cansaço na coluna após comer,alto risco
Sinto perda de visão com dor no peito na cabeça há uma semana,alto risco
Apresentei contínua dor no peito com suor excessivo nas mãos,alto risco
Sinto rigidez muscular com coceira na lombar após comer,baixo risco
Apresentei persistente aperto com falta de ar nas costas,baixo risco
Apresentei persistente desconforto com falta de ar na lombar,baixo risco
Sinto inchaço associada a aperto na garganta de manhã,alto risco
Sinto formigamento seguida de dor de cabeça nas pernas após esforço,alto risco
Apresentei moderada suor excessivo seguida de tontura nos braços,alto risco
Apresentei persistente dor abdominal seguida de palpitação nos olhos,alto risco
Sinto desconforto e cansaço nos olhos há uma semana,alto risco
Sinto febre seguida de confusão mental na garganta há 2 dias,alto risco
Sinto náusea e dor no peito nos olhos após comer,alto risco
perda de visão contínua no abdômen de manhã,alto risco
Sinto formigamento com fraqueza nas costas há uma semana,baixo risco
Sensação de tontura crônica ao acordar,alto risco
Sensação de dor abdominal intensa ao levantar,baixo risco
Tenho leve fraqueza nas pernas de manhã,alto risco
Tenho forte aperto no abdômen há 2 dias,alto risco
Apresentei intensa aperto com cansaço nos olhos,baixo risco
Sinto calafrio seguida de falta de ar nos pés após comer,alto risco
Sinto desconforto com suor excessivo nos pés à noite,alto risco
Apresentei crônica inquietação seguida de inchaço no abdômen,baixo risco
Apresentei crônica formigamento com perda de visão na coluna,baixo risco
fraqueza moderada nas mãos há uma semana,alto risco
coceira forte na cabeça após comer,alto risco
Sensação de dor abdominal aguda ao levantar,alto risco
febre intermitente nos pés há 2 dias,alto risco
Apresentei intermitente fraqueza associada a coceira na coluna,baixo risco
Sinto perda de visão associada a suor excessivo nas pernas há 2 dias,baixo risco
Sensação de palpitação repentina após comer,baixo risco
Tenho contínua coceira nos braços à noite,baixo risco
Apresentei crônica cansaço e formigamento nas mãos,baixo risco
Apresentei forte formigamento e aperto na garganta,alto risco
Sinto perda de equilíbrio junto com perda de visão na lombar há uma semana,alto risco
Apresentei contínua tontura seguida de formigamento nas mãos,baixo risco
Tenho intermitente palpitação na garganta há 2 dias,baixo risco
Apresentei intensa confusão mental associada a aperto no abdômen,alto risco
Sensação de confusão mental aguda ao levantar,baixo risco
Apresentei persistente suor excessivo com tosse nas mãos,alto risco
Tenho leve aperto nos braços há uma semana,alto risco
Sinto tosse com perda de equilíbrio nos olhos após esforço,alto risco
Apresentei intensa suor excessivo e palpitação nos pés,baixo risco
Apresentei intermitente dor junto com náusea no abdômen,alto risco
Tenho contínua dor abdominal na garganta de manhã,alto risco
Sensação de febre aguda durante o repouso,baixo risco
perda de visão moderada nas pernas durante a noite,baixo risco
Apresentei repentina falta de ar com dor abdominal na coluna,baixo risco
Apresentei forte dor de cabeça com cansaço nas pernas,baixo risco
formigamento crônica nas costas durante a noite,alto risco
Tenho forte fraqueza nos braços após esforço,baixo risco
inchaço intermitente na garganta durante o repouso,baixo risco
Apresentei contínua confusão mental e náusea nas mãos,baixo risco
Tenho crônica perda de equilíbrio nos olhos ao acordar,baixo risco
Tenho crônica perda de equilíbrio na cabeça ao acordar,baixo risco
febre leve nas mãos após comer,alto risco
Sensação de dor repentina à noite,baixo risco
Apresentei contínua dor de cabeça associada a calafrio no abdômen,alto risco
Apresentei leve rigidez muscular seguida de coceira nos olhos,baixo risco
Sensação de tosse contínua após comer,baixo risco
Sensação de tosse moderada ao levantar,alto risco
Sinto náusea associada a coceira nos pés à noite,alto risco
Apresentei aguda coceira associada a cansaço nos pés,baixo risco
Apresentei leve calafrio junto com fraqueza nos olhos,alto risco
Sinto fraqueza e náusea nos olhos há 2 dias,alto risco
Sensação de dor de cabeça moderada durante a noite,alto risco
formigamento intensa na coluna após comer,baixo risco
Sensação de calafrio intermitente há uma semana,baixo risco
suor excessivo forte nos pés após esforço,alto risco
Tenho intensa fraqueza nas pernas durante a noite,baixo risco
Sinto dor abdominal seguida de inquietação no abdômen à noite,baixo risco
Tenho aguda confusão mental na lombar ao acordar,alto risco
suor excessivo crônica nas costas há 2 dias,alto risco
Sinto calafrio junto com dor abdominal nas mãos durante a noite,baixo risco
palpitação leve no peito durante o repouso,baixo risco
Apresentei persistente febre junto com tosse nas mãos,baixo risco
Sensação de dor intermitente há uma semana,baixo risco
dor moderada nas pernas após comer,alto risco
Sensação de inchaço intermitente durante a noite,baixo risco
desconforto contínua nos pés à noite,alto risco
Sinto rigidez muscular seguida de aperto nas mãos há uma semana,alto risco
Apresentei moderada confusão mental e cansaço nos olhos,alto risco
formigamento leve nos braços após comer,alto risco
Sinto fraqueza seguida de tosse nos olhos há uma semana,alto risco
Sinto formigamento associada a perda de visão nas mãos à noite,baixo risco
Sinto rigidez muscular junto com tontura nos braços após comer,baixo risco
Tenho persistente dor nos pés após esforço,alto risco
Sinto inquietação junto com inchaço nos braços ao acordar,baixo risco
Sinto falta de ar junto com dor de cabeça na lombar após esforço,baixo risco
Sinto palpitação com dor de cabeça no peito durante a noite,baixo risco
desconforto aguda na coluna ao levantar,alto risco
palpitação crônica nas mãos há uma semana,alto risco
Sensação de náusea intermitente há 2 dias,baixo risco
náusea intensa no abdômen durante o repouso,alto risco
Tenho forte calafrio no peito após comer,baixo risco
Sinto dor associada a suor excessivo nos braços durante o repouso,alto risco
Sinto suor excessivo associada a formigamento nos braços ao levantar,alto risco
Sinto inchaço com náusea na lombar após comer,baixo risco
Sinto inquietação com rigidez muscular nos pés há 2 dias,alto risco
Sensação de rigidez muscular contínua durante o repouso,baixo risco
inchaço contínua nos braços há uma semana,alto risco
Sinto tontura e desconforto nas costas à noite,baixo risco
Sinto dor de cabeça e cansaço na cabeça após comer,baixo risco
suor excessivo repentina nos braços durante o repouso,baixo risco
Apresentei aguda confusão mental seguida de inquietação na cabeça,baixo risco
dor abdominal leve nas pernas após esforço,alto risco
Sinto febre associada a fraqueza na lombar após esforço,baixo risco
Tenho persistente calafrio na cabeça há uma semana,baixo risco
Apresentei crônica tosse associada a inquietação nos olhos,baixo risco
Tenho persistente náusea na lombar à noite,alto risco
Apresentei repentina palpitação seguida de rigidez muscular na coluna,alto risco
Apresentei contínua calafrio e perda de equilíbrio na lombar,baixo risco
Sinto dor no peito seguida de desconforto nas costas há uma semana,baixo risco
Tenho contínua perda de visão nos olhos de manhã,baixo risco
Tenho moderada palpitação nos braços após esforço,baixo risco
Sensação de dor abdominal intermitente após comer,alto risco
Apresentei moderada formigamento com aperto nos braços,alto risco
Sensação de dor no peito aguda de manhã,alto risco
Sensação de náusea forte há uma semana,alto risco
Tenho intensa dor de cabeça nos pés de manhã,alto risco
Sensação de inchaço crônica de manhã,baixo risco
Sinto náusea e falta de ar nos olhos após esforço,baixo risco
